measure_name,datum,state_id,state_name,first_year,last_year,footnotes,sources
"% of counties without a known abortion provider",91,AL,Alabama,2014,n/a,,"Special tabulations of data from Frost JJ, Frohwirth L and Zolna MR, Contraceptive Needs and Services, 2014 Update, New York: Guttmacher Institute, 2016"
"% of counties without a known abortion provider",79,AK,Alaska,2014,n/a,,"Special tabulations of data from Frost JJ, Frohwirth L and Zolna MR, Contraceptive Needs and Services, 2014 Update, New York: Guttmacher Institute, 2016"
"% of counties without a known abortion provider",80,AZ,Arizona,2014,n/a,,"Special tabulations of data from Frost JJ, Frohwirth L and Zolna MR, Contraceptive Needs and Services, 2014 Update, New York: Guttmacher Institute, 2016"
"% of counties without a known abortion provider",97,AR,Arkansas,2014,n/a,,"Special tabulations of data from Frost JJ, Frohwirth L and Zolna MR, Contraceptive Needs and Services, 2014 Update, New York: Guttmacher Institute, 2016"
"% of counties without a known abortion provider",24,CA,California,2014,n/a,,"Special tabulations of data from Frost JJ, Frohwirth L and Zolna MR, Contraceptive Needs and Services, 2014 Update, New York: Guttmacher Institute, 2016"
"% of counties without a known abortion provider",77,CO,Colorado,2014,n/a,,"Special tabulations of data from Frost JJ, Frohwirth L and Zolna MR, Contraceptive Needs and Services, 2014 Update, New York: Guttmacher Institute, 2016"
"% of counties without a known abortion provider",13,CT,Connecticut,2014,n/a,,"Special tabulations of data from Frost JJ, Frohwirth L and Zolna MR, Contraceptive Needs and Services, 2014 Update, New York: Guttmacher Institute, 2016"
"% of counties without a known abortion provider",33,DE,Delaware,2014,n/a,,"Special tabulations of data from Frost JJ, Frohwirth L and Zolna MR, Contraceptive Needs and Services, 2014 Update, New York: Guttmacher Institute, 2016"
"% of counties without a known abortion provider",0,DC,"District of Columbia",2014,n/a,,"Special tabulations of data from Frost JJ, Frohwirth L and Zolna MR, Contraceptive Needs and Services, 2014 Update, New York: Guttmacher Institute, 2016"
"% of counties without a known abortion provider",67,FL,Florida,2014,n/a,,"Special tabulations of data from Frost JJ, Frohwirth L and Zolna MR, Contraceptive Needs and Services, 2014 Update, New York: Guttmacher Institute, 2016"
"% of counties without a known abortion provider",94,GA,Georgia,2014,n/a,,"Special tabulations of data from Frost JJ, Frohwirth L and Zolna MR, Contraceptive Needs and Services, 2014 Update, New York: Guttmacher Institute, 2016"
"% of counties without a known abortion provider",20,HI,Hawaii,2014,n/a,,"Special tabulations of data from Frost JJ, Frohwirth L and Zolna MR, Contraceptive Needs and Services, 2014 Update, New York: Guttmacher Institute, 2016"
"% of counties without a known abortion provider",95,ID,Idaho,2014,n/a,,"Special tabulations of data from Frost JJ, Frohwirth L and Zolna MR, Contraceptive Needs and Services, 2014 Update, New York: Guttmacher Institute, 2016"
"% of counties without a known abortion provider",91,IL,Illinois,2014,n/a,,"Special tabulations of data from Frost JJ, Frohwirth L and Zolna MR, Contraceptive Needs and Services, 2014 Update, New York: Guttmacher Institute, 2016"
"% of counties without a known abortion provider",95,IN,Indiana,2014,n/a,,"Special tabulations of data from Frost JJ, Frohwirth L and Zolna MR, Contraceptive Needs and Services, 2014 Update, New York: Guttmacher Institute, 2016"
"% of counties without a known abortion provider",89,IA,Iowa,2014,n/a,,"Special tabulations of data from Frost JJ, Frohwirth L and Zolna MR, Contraceptive Needs and Services, 2014 Update, New York: Guttmacher Institute, 2016"
"% of counties without a known abortion provider",97,KS,Kansas,2014,n/a,,"Special tabulations of data from Frost JJ, Frohwirth L and Zolna MR, Contraceptive Needs and Services, 2014 Update, New York: Guttmacher Institute, 2016"
"% of counties without a known abortion provider",98,KY,Kentucky,2014,n/a,,"Special tabulations of data from Frost JJ, Frohwirth L and Zolna MR, Contraceptive Needs and Services, 2014 Update, New York: Guttmacher Institute, 2016"
"% of counties without a known abortion provider",92,LA,Louisiana,2014,n/a,,"Special tabulations of data from Frost JJ, Frohwirth L and Zolna MR, Contraceptive Needs and Services, 2014 Update, New York: Guttmacher Institute, 2016"
"% of counties without a known abortion provider",75,ME,Maine,2014,n/a,,"Special tabulations of data from Frost JJ, Frohwirth L and Zolna MR, Contraceptive Needs and Services, 2014 Update, New York: Guttmacher Institute, 2016"
"% of counties without a known abortion provider",54,MD,Maryland,2014,n/a,,"Special tabulations of data from Frost JJ, Frohwirth L and Zolna MR, Contraceptive Needs and Services, 2014 Update, New York: Guttmacher Institute, 2016"
"% of counties without a known abortion provider",21,MA,Massachusetts,2014,n/a,,"Special tabulations of data from Frost JJ, Frohwirth L and Zolna MR, Contraceptive Needs and Services, 2014 Update, New York: Guttmacher Institute, 2016"
"% of counties without a known abortion provider",88,MI,Michigan,2014,n/a,,"Special tabulations of data from Frost JJ, Frohwirth L and Zolna MR, Contraceptive Needs and Services, 2014 Update, New York: Guttmacher Institute, 2016"
"% of counties without a known abortion provider",95,MN,Minnesota,2014,n/a,,"Special tabulations of data from Frost JJ, Frohwirth L and Zolna MR, Contraceptive Needs and Services, 2014 Update, New York: Guttmacher Institute, 2016"
"% of counties without a known abortion provider",99,MS,Mississippi,2014,n/a,,"Special tabulations of data from Frost JJ, Frohwirth L and Zolna MR, Contraceptive Needs and Services, 2014 Update, New York: Guttmacher Institute, 2016"
"% of counties without a known abortion provider",99,MO,Missouri,2014,n/a,,"Special tabulations of data from Frost JJ, Frohwirth L and Zolna MR, Contraceptive Needs and Services, 2014 Update, New York: Guttmacher Institute, 2016"
