state_id,counties_no_provider,percent_abortion,percent_birth,percent_medicaid,percent_women_no_provider,percent_uninsured,percent_bc_18_49,abortion_rate_15_17_state,abortion_rate_15_19_state,abortion_rate_15_44_state,abortion_rate_18_19_state,birthrate_15_17_state,birthrate_15_19_state,birthrate_18_19_state,need_bc_hisp_20_44,need_bc_hisp_younger_20,need_bc_13_44,need_bc_black_20_44,need_bc_black_under_20,need_bc_white_20_44,need_bc_white_under_20,need_bc_under_20,total_expend_abortion,public_expenditures,expenditure_rate,hostility
AK,79,11,73,24,17,15,76.5,4.5,7.6,9.9,13.1,7.9,26,58.6,3340,810,39770,1300,440,14610,5370,9430,216,10158,0.2554186572793563,leans_supportive
AL,91,10,74,18,58,14,71.5,2.9,5.4,8.3,9.2,12.9,28.4,52.3,14590,3400,351220,112490,24010,140350,44510,74210,22,69742,0.1985706964295883,hostile
AR,97,9,75,28,77,11,NA,2.2,3.9,6.2,6.5,14,34.7,66.5,18020,4440,223810,41570,9220,108960,31230,46710,0,11397,0.05092265761136679,leans_hostile
AZ,80,11,73,24,19,13,64.2,2.2,5.9,10.5,11.6,10.4,23.4,43.2,167450,40320,465750,19990,5160,136430,44590,98270,40,57560,0.12358561460010735,leans_hostile
CA,24,20,65,27,1,9,72,5.3,10.3,17.3,17.9,7.4,17,31.2,1102300,263760,2526010,135760,34530,468270,161870,527440,32613,454706,0.18000958032628533,supportive
CO,77,13,71,20,17,10,NA,2.9,6.2,9.8,11,7.9,17.8,32.9,83670,21600,334150,13880,3540,139690,47080,76680,0,29252,0.08754152326799342,middle_ground
CT,13,23,62,23,5,7,68.8,5.4,9.3,18.2,14.5,3.8,9.4,17,40300,10140,180670,23690,6700,51340,35030,55000,184,21462,0.11879116621464549,leans_supportive
DE,33,19,66,19,18,7,62.5,5.8,11,16.1,18,8.6,19.7,34.7,6490,1530,54050,12450,3860,18760,7560,13720,NA,4646,0.08595744680851064,leans_hostile
FL,67,21,64,17,19,18,67.9,5.3,10.6,17.5,19,8,19.2,36.8,340150,70220,1329300,264700,57930,410280,120950,260260,0,42764,0.032170315203490556,leans_hostile
GA,94,17,68,13,54,19,64.8,3.9,7.9,15.2,14,10.2,23.5,44.2,72070,17020,741940,247190,61270,225580,77600,163560,298,35665,0.048069924791762135,leans_hostile
HI,20,14,70,18,0,5,61.8,5.1,8.4,11.7,13.9,6.4,19.3,40.3,8520,2280,66120,1170,340,11630,2310,13490,253,1918,0.029007864488808228,leans_supportive
IA,89,8,76,20,42,5,74.7,2.2,4.2,6.9,7,6.6,17.2,31.7,12910,3950,195480,10700,2420,112650,40280,48940,NA,18472,0.09449560057294865,leans_hostile
ID,95,6,78,15,68,16,73.8,1.5,3.8,5.5,7.7,7.6,19.8,40.2,16530,4090,116180,700,250,67580,20780,26140,NA,12886,0.11091409881218799,leans_hostile
IL,91,17,67,22,34,9,NA,4.6,8.4,14.7,14.5,8,18.7,35.6,148200,39230,779490,141580,32690,261410,102260,184330,99,58133,0.07457824988133267,middle_ground
IN,95,9,75,19,66,11,72,2,4.7,7.9,8.7,9.6,23.5,44.7,34140,8730,457150,53750,11880,246200,77560,102500,NA,41063,0.08982390900142186,hostile
KS,97,8,76,12,56,11,72.4,1.6,3.4,6.3,6.1,9.4,21.9,40.8,25540,6920,186150,12390,3080,91860,31960,44760,NA,25112,0.1349019607843137,middle_ground
KY,98,7,77,30,74,7,NA,1.7,3.4,5.5,6,12,30.9,59.8,11420,2650,307010,29390,6750,189760,54710,66430,0,82039,0.2672193088173024,leans_hostile
LA,92,11,73,31,63,10,70.9,3.8,6.1,10.7,10,12.7,30.8,60,15980,3030,345760,129650,27980,119460,36550,69780,0,34361,0.09937818139750115,hostile
MA,21,20,65,25,9,3,72.1,3.1,7,14.1,11.6,3.9,8.5,13.8,61890,14490,359770,30600,9060,130830,72820,104300,1400,25984,0.07222392083831336,middle_ground
MD,54,23,62,19,16,8,72.1,6.2,12.6,21.7,22.2,7.2,16,29.2,34320,8750,308590,89090,30090,79560,40890,86090,5000,58363,0.18912796915000485,leans_supportive
ME,75,14,71,19,46,11,78,3.1,5.8,9,9.6,4.7,14.8,29.3,1350,430,74070,1580,460,50230,16530,18160,0,6066,0.0818955042527339,middle_ground
MI,88,17,68,26,39,6,NA,3.8,7.5,14.1,13,7.2,17.7,33.1,36380,9750,649310,113940,24740,315720,104690,147440,NA,42383,0.06527390614652477,leans_hostile
MN,95,10,74,20,59,6,70.1,2.4,4.8,9.1,8.4,4.9,12.6,24.3,21020,5570,300810,27900,6600,143900,60130,78670,906,23991,0.07975466241148899,leans_supportive
MO,99,9,75,14,94,13,69.1,2.4,5.2,8.6,9.5,9.4,23.4,45,17900,4690,403790,57980,13130,218810,68780,90440,15,48244,0.11947794645731692,hostile
MS,99,11,74,20,91,17,65.5,2.6,4.6,8.6,7.6,15,32.6,58.8,6450,1400,233270,97600,22430,74780,24400,49350,0,23234,0.09960132035838298,hostile
MT,93,9,75,22,55,11,NA,3.3,5.3,8.2,8.2,9.2,23.7,45.3,2950,700,66600,160,60,42020,11520,13610,238,8138,0.1221921921921922,leans_supportive
NC,83,15,69,17,43,15,73.8,3,6.2,11.6,10.9,9.7,21.6,38.9,76920,17440,720450,172910,40270,278210,87290,153120,7,92753,0.12874314664445832,leans_hostile
ND,98,7,77,10,73,10,NA,2.3,4,6.6,6.1,8.5,20.5,35.4,2080,460,47140,2190,330,26610,9250,11010,NA,1726,0.03661434026304625,leans_hostile
NE,97,7,77,11,41,12,67.9,1.7,3,5.9,5,8.5,19.2,34.6,16430,3920,123070,7690,1690,62650,21940,28990,NA,8026,0.06521491833915657,leans_hostile
NH,40,15,70,14,12,7,NA,3,5.8,9.9,9.5,3.5,9.2,16.6,3010,870,64970,1170,360,37600,17530,19560,NA,2058,0.03167615822687394,middle_ground
