"state_id,Hostility"
"AL,hostile"
"AK,leans_supportive"
"AZ,leans_hostile"
"AR,leans_hostile"
"CA,supportive"
"CO,middle_ground"
"CT,leans_supportive"
"DE,leans_hostile"
"FL,leans_hostile"
"GA,leans_hostile"
"HI,leans_supportive"
"ID,leans_hostile"
"IL,middle_ground"
"IN,hostile"
"IA,leans_hostile"
"KS,middle_ground"
"KY,leans_hostile"
"LA,hostile"
"ME,middle_ground"
"MD,leans_supportive"
"MA,middle_ground"
"MI,leans_hostile"
"MN,leans_supportive"
"MS,hostile"
"MO,hostile"
"MT,leans_supportive"
"NE,leans_hostile"
"NV,middle_ground"
"NH,middle_ground"
"NJ,leans_supportive"
"NM,leans_supportive"
"NY,middle_ground"
"NC,leans_hostile"
"ND,leans_hostile"
"OH,hostile"
"OK,leans_hostile"
"OR,leans_supportive"
"PA,hostile"
"RI,leans_hostile"
"SC,hostile"
"SD,hostile"
"TN,leans_hostile"
"TX,leans_hostile"
"UT,hostile"
"VT,leans_supportive"
"VA,leans_hostile"
"WA,supportive"
"WV,middle_ground"
"WI,leans_hostile"
"WY,leans_hostile"
